10562,2013-09-28 00:00:00.0,5525
53568,2014-06-27 00:00:00.0,2013
30570,2014-01-30 00:00:00.0,346
49720,2014-05-31 00:00:00.0,3371
818,2013-07-29 00:00:00.0,8459
42887,2014-04-16 00:00:00.0,8805
2550,2013-08-07 00:00:00.0,10312
1558,2013-08-02 00:00:00.0,5661
60772,2013-11-20 00:00:00.0,7337
61707,2013-12-23 00:00:00.0,2774
45687,2014-05-04 00:00:00.0,1374
3116,2013-08-11 00:00:00.0,2786
35642,2014-03-01 00:00:00.0,2605
66265,2014-06-13 00:00:00.0,7300
2535,2013-08-07 00:00:00.0,6839
39023,2014-03-22 00:00:00.0,9069
50037,2014-06-02 00:00:00.0,6060
26521,2014-01-05 00:00:00.0,3786
49410,2014-05-29 00:00:00.0,3005
57180,2014-07-21 00:00:00.0,4915
49040,2014-05-26 00:00:00.0,8532
41623,2014-04-08 00:00:00.0,12253
53727,2014-06-28 00:00:00.0,7210
3753,2013-08-15 00:00:00.0,2888
22809,2013-12-12 00:00:00.0,7703
28297,2014-01-15 00:00:00.0,11550
44821,2014-04-28 00:00:00.0,6265
32830,2014-02-12 00:00:00.0,6368
30066,2014-01-27 00:00:00.0,579
18243,2013-11-14 00:00:00.0,3324
59098,2013-09-15 00:00:00.0,10807
43307,2014-04-19 00:00:00.0,10150
36685,2014-03-07 00:00:00.0,8650
1756,2013-08-03 00:00:00.0,6875
14053,2013-10-20 00:00:00.0,10438
14291,2013-10-23 00:00:00.0,2604
36344,2014-03-05 00:00:00.0,11197
55182,2014-07-08 00:00:00.0,9925
54475,2014-07-04 00:00:00.0,6272
65942,2014-06-03 00:00:00.0,11236
51747,2014-06-14 00:00:00.0,9019
12534,2013-10-10 00:00:00.0,2384
4006,2013-08-17 00:00:00.0,12338
63823,2014-03-13 00:00:00.0,9114
57994,2013-08-03 00:00:00.0,782
57225,2014-07-21 00:00:00.0,2094
51520,2014-06-13 00:00:00.0,4226
45654,2014-05-04 00:00:00.0,7457
33029,2014-02-14 00:00:00.0,10854
24373,2013-12-23 00:00:00.0,7170
40162,2014-03-30 00:00:00.0,8892
10973,2013-09-30 00:00:00.0,1522
63614,2014-03-04 00:00:00.0,6341
52567,2014-06-19 00:00:00.0,7210
58896,2013-09-06 00:00:00.0,9697
10278,2013-09-26 00:00:00.0,10071
46824,2014-05-11 00:00:00.0,10887
61073,2013-11-29 00:00:00.0,9012
19297,2013-11-22 00:00:00.0,2160
29851,2014-01-26 00:00:00.0,8171
67378,2014-07-23 00:00:00.0,10826
37640,2014-03-14 00:00:00.0,9799
30207,2014-01-28 00:00:00.0,209
46987,2014-05-12 00:00:00.0,6065
14490,2013-10-24 00:00:00.0,11851
45987,2014-05-06 00:00:00.0,9419
56538,2014-07-18 00:00:00.0,7047
14106,2013-10-21 00:00:00.0,4597
10116,2013-09-26 00:00:00.0,1180
43874,2014-04-23 00:00:00.0,783
52715,2014-06-20 00:00:00.0,11610
2945,2013-08-10 00:00:00.0,4861
66785,2014-07-01 00:00:00.0,11631
4868,2013-08-23 00:00:00.0,11309
11916,2013-10-06 00:00:00.0,10898
57307,2014-07-21 00:00:00.0,1403
20101,2013-11-27 00:00:00.0,10739
40412,2014-03-31 00:00:00.0,10643
36618,2014-03-06 00:00:00.0,7657
28724,2014-01-18 00:00:00.0,5819
34210,2014-02-20 00:00:00.0,1350
9925,2013-09-25 00:00:00.0,2773
7105,2013-09-07 00:00:00.0,6097
11405,2013-10-03 00:00:00.0,2263
41684,2014-04-08 00:00:00.0,9733
15121,2013-10-29 00:00:00.0,6686
41855,2014-04-09 00:00:00.0,9999
117,2013-07-26 00:00:00.0,58
45161,2014-04-30 00:00:00.0,3315
1144,2013-07-31 00:00:00.0,61
8820,2013-09-18 00:00:00.0,3231
48399,2014-05-21 00:00:00.0,5286
47306,2014-05-13 00:00:00.0,2984
25683,2013-12-31 00:00:00.0,9010
66818,2014-07-02 00:00:00.0,12285
34567,2014-02-23 00:00:00.0,7314
38530,2014-03-19 00:00:00.0,871
48458,2014-05-21 00:00:00.0,11422
62581,2014-01-25 00:00:00.0,866
30245,2014-01-28 00:00:00.0,8698
33120,2014-02-14 00:00:00.0,2631
39605,2014-03-26 00:00:00.0,99
16947,2013-11-07 00:00:00.0,7515
3304,2013-08-12 00:00:00.0,613
46939,2014-05-12 00:00:00.0,11915
14836,2013-10-27 00:00:00.0,7666
28677,2014-01-18 00:00:00.0,4775
45527,2014-05-03 00:00:00.0,8225
37970,2014-03-15 00:00:00.0,3515
53166,2014-06-25 00:00:00.0,1892
19464,2013-11-23 00:00:00.0,1673
20949,2013-12-01 00:00:00.0,8874
64730,2014-04-17 00:00:00.0,6049
15925,2013-11-03 00:00:00.0,5813
28834,2014-01-19 00:00:00.0,1174
47914,2014-05-17 00:00:00.0,11956
50484,2014-06-06 00:00:00.0,7128
35182,2014-02-27 00:00:00.0,6985
49075,2014-05-26 00:00:00.0,2805
48163,2014-05-19 00:00:00.0,4329
27334,2014-01-10 00:00:00.0,9792
36653,2014-03-06 00:00:00.0,6143
51811,2014-06-14 00:00:00.0,5659
24653,2013-12-25 00:00:00.0,2703
11148,2013-10-02 00:00:00.0,8115
48279,2014-05-20 00:00:00.0,4514
31564,2014-02-05 00:00:00.0,6319
55534,2014-07-11 00:00:00.0,1631
58298,2013-08-15 00:00:00.0,4280
40495,2014-04-01 00:00:00.0,2784
31874,2014-02-07 00:00:00.0,2158
28875,2014-01-19 00:00:00.0,9231
39103,2014-03-23 00:00:00.0,7590
14068,2013-10-21 00:00:00.0,6869
19863,2013-11-24 00:00:00.0,7842
36800,2014-03-07 00:00:00.0,2708
